TesterName,StreamName,TestType,MatchFiles,MisMatchFiles,TotalFiles,TotalCDRCompared,FileResult,CDRResult,TimeTaken,Date,ReportFileName
MANGESH,HYBRID_ICR_DOX,DIFF_Summary,10,0,10,1217,PASS,PASS,0.17,09-03-2023 11:59AM,MANGESH_HYBRID_ICR_DOX_DIFF_Summary_2023_03_09-11_59_36_AM.txt
RAJU,NOKIA_MSC_FMSC_SMS,ZIP_Detailed,9,0,9,47,PASS,n/a,0.02,09-03-2023 12:00PM,RAJU_NOKIA_MSC_FMSC_SMS_ZIP_Detailed_2023_03_09-12_00_10_PM.txt
MANGESH,HYBRID_ICR_DOX_SMS,DIFF_Summary,10,0,10,727,PASS,PASS,0.10,09-03-2023 12:44PM,MANGESH_HYBRID_ICR_DOX_SMS_DIFF_Summary_2023_03_09-12_44_03_PM.txt
MANGESH,HYBRID_ICR_FMS,DIFF_Summary,10,0,10,685,PASS,PASS,0.07,09-03-2023 12:54PM,MANGESH_HYBRID_ICR_FMS_DIFF_Summary_2023_03_09-12_54_12_PM.txt
MANGESH,HYBRID_ICR_FMS_SMS,DIFF_Summary,10,0,10,308,PASS,PASS,0.04,09-03-2023 12:56PM,MANGESH_HYBRID_ICR_FMS_SMS_DIFF_Summary_2023_03_09-12_56_21_PM.txt
RAJU,NOKIA_MSC_FMSC_SMS,ZIP_Detailed,9,0,9,47,PASS,n/a,0.02,09-03-2023 12:59PM,RAJU_NOKIA_MSC_FMSC_SMS_ZIP_Detailed_2023_03_09-12_59_24_PM.txt
RAJU,NOKIA_MSC_FMSC_SMS,DIFF_Summary,9,0,9,47,PASS,PASS,0.03,09-03-2023 12:59PM,RAJU_NOKIA_MSC_FMSC_SMS_DIFF_Summary_2023_03_09-12_59_55_PM.txt
MANGESH,HYBRID_ICR_NRTDE,DIFF_Summary,9,0,9,31,PASS,PASS,0.02,09-03-2023 01:01PM,MANGESH_HYBRID_ICR_NRTDE_DIFF_Summary_2023_03_09-01_01_44_PM.txt
MANGESH,HYBRID_ICR_ORPHEOUS,DIFF_Summary,10,0,10,3302,PASS,PASS,0.35,09-03-2023 01:02PM,MANGESH_HYBRID_ICR_ORPHEOUS_DIFF_Summary_2023_03_09-01_02_50_PM.txt
MANGESH,HYBRID_ICR_OUT,DIFF_Summary,20,0,20,40,PASS,PASS,0.03,09-03-2023 01:06PM,MANGESH_HYBRID_ICR_OUT_DIFF_Summary_2023_03_09-01_06_53_PM.txt
MANGESH,HYBRID_ICR_SF,DIFF_Summary,10,0,10,18996,PASS,PASS,2.00,09-03-2023 01:08PM,MANGESH_HYBRID_ICR_SF_DIFF_Summary_2023_03_09-01_08_07_PM.txt
MANGESH,HYBRID_ICR_SF_SMS,DIFF_Summary,10,0,10,1210,PASS,PASS,0.10,09-03-2023 01:10PM,MANGESH_HYBRID_ICR_SF_SMS_DIFF_Summary_2023_03_09-01_10_23_PM.txt
MANGESH,HYBRID_ICR_DOX,ZIP_Detailed,10,0,10,1217,PASS,n/a,0.02,09-03-2023 01:19PM,MANGESH_HYBRID_ICR_DOX_ZIP_Detailed_2023_03_09-01_19_30_PM.txt
MANGESH,HYBRID_ICR_DOX_SMS,ZIP_Detailed,10,0,10,727,PASS,n/a,0.02,09-03-2023 01:21PM,MANGESH_HYBRID_ICR_DOX_SMS_ZIP_Detailed_2023_03_09-01_21_24_PM.txt
